epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1139.6,1.06272,0.75505,0.90633,0.99763,0.99927,0.995,0.72939,0.96184,0.53392,0.88091,0.000117245,0.000117245,0.000117245
43,1166.28,1.06009,0.76283,0.90834,0.99801,0.99952,0.995,0.73256,0.95089,0.53367,0.87673,0.0001143,0.0001143,0.0001143
44,1192.13,1.05117,0.72884,0.90562,0.99774,0.99877,0.995,0.71594,0.99596,0.53183,0.88551,0.000111354,0.000111354,0.000111354
45,1218.73,1.05343,0.74119,0.90129,0.99699,0.9994,0.995,0.72242,0.99087,0.53833,0.88511,0.000108409,0.000108409,0.000108409
46,1245.58,1.05281,0.74384,0.90564,0.99762,0.99922,0.995,0.73026,0.96193,0.52681,0.88038,0.000105464,0.000105464,0.000105464
47,1272.26,1.04384,0.73613,0.90001,0.99667,0.99968,0.995,0.73189,0.95875,0.52757,0.88101,0.000102519,0.000102519,0.000102519
48,1299.52,1.05035,0.74512,0.9019,0.99773,0.99971,0.995,0.73035,0.96259,0.52373,0.88149,9.95733e-05,9.95733e-05,9.95733e-05
49,1325.72,1.06016,0.76687,0.904,0.99777,0.99911,0.995,0.7321,0.95215,0.52558,0.87908,9.6628e-05,9.6628e-05,9.6628e-05
50,1352.37,1.04803,0.73683,0.90557,0.99776,0.9995,0.995,0.73168,0.95102,0.52382,0.88138,9.36827e-05,9.36827e-05,9.36827e-05
51,1377.71,1.04779,0.74259,0.90186,0.99803,0.99919,0.995,0.72851,0.96196,0.52226,0.87745,9.07375e-05,9.07375e-05,9.07375e-05
52,1403.67,1.03703,0.72956,0.89948,0.99793,0.99915,0.995,0.73075,0.95684,0.51716,0.87803,8.77923e-05,8.77923e-05,8.77923e-05
53,1429.99,1.03421,0.72922,0.89882,0.99752,0.99936,0.995,0.72736,0.97332,0.52126,0.88267,8.4847e-05,8.4847e-05,8.4847e-05
54,1456.98,1.03574,0.72028,0.90084,0.99796,0.99827,0.995,0.72872,0.95911,0.52174,0.88356,8.19018e-05,8.19018e-05,8.19018e-05
55,1483.8,1.04257,0.72653,0.90191,0.99804,0.99904,0.995,0.73139,0.95974,0.51528,0.88075,7.89565e-05,7.89565e-05,7.89565e-05
56,1510.15,1.03217,0.71589,0.89825,0.99794,0.9994,0.995,0.72811,0.96934,0.51565,0.88354,7.60113e-05,7.60113e-05,7.60113e-05
57,1536.48,1.03831,0.72149,0.90028,0.99771,0.99931,0.995,0.7241,0.97556,0.51559,0.88269,7.3066e-05,7.3066e-05,7.3066e-05
58,1562.94,1.03329,0.72481,0.90367,0.99758,0.99942,0.995,0.7287,0.96545,0.5096,0.88021,7.01207e-05,7.01207e-05,7.01207e-05
59,1589.44,1.03916,0.71679,0.90008,0.9977,0.99866,0.995,0.72643,0.96683,0.51448,0.88,6.71755e-05,6.71755e-05,6.71755e-05
60,1616.19,1.03934,0.7124,0.89655,0.99787,0.99967,0.995,0.73162,0.94895,0.50543,0.8786,6.42303e-05,6.42303e-05,6.42303e-05
61,1642.33,1.02996,0.71137,0.89947,0.99792,0.9997,0.995,0.73496,0.94373,0.50224,0.87789,6.1285e-05,6.1285e-05,6.1285e-05
62,1668.52,1.03299,0.71708,0.89979,0.9976,0.99981,0.995,0.73334,0.94829,0.5038,0.87788,5.83398e-05,5.83398e-05,5.83398e-05
63,1694.78,1.0262,0.70507,0.89657,0.99797,0.9995,0.995,0.73318,0.94651,0.50427,0.87826,5.53945e-05,5.53945e-05,5.53945e-05
64,1720.84,1.026,0.68784,0.89794,0.99771,0.99972,0.995,0.7351,0.94525,0.50504,0.87854,5.24493e-05,5.24493e-05,5.24493e-05
65,1751.35,1.03963,0.7132,0.89966,0.99785,0.99917,0.995,0.73352,0.94267,0.50169,0.87539,4.9504e-05,4.9504e-05,4.9504e-05
66,1778.05,1.02941,0.70037,0.89696,0.99778,0.99958,0.995,0.736,0.9502,0.50331,0.87971,4.65588e-05,4.65588e-05,4.65588e-05
