epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1723.34,1.02749,0.90071,0.90773,0.99507,0.99964,0.995,0.72073,0.98811,0.6477,0.90278,9.9994e-05,9.9994e-05,9.9994e-05
43,1766.74,1.02021,0.88217,0.90315,0.99609,0.99805,0.995,0.72902,0.94384,0.63826,0.89242,9.6628e-05,9.6628e-05,9.6628e-05
44,1808.49,1.01832,0.89506,0.90682,0.99584,0.99859,0.995,0.746,0.91189,0.62295,0.88852,9.3262e-05,9.3262e-05,9.3262e-05
45,1850.67,1.01509,0.87566,0.90188,0.99666,0.99901,0.995,0.74749,0.91492,0.62864,0.88935,8.9896e-05,8.9896e-05,8.9896e-05
46,1892.24,1.02462,0.86314,0.9058,0.99631,0.99902,0.995,0.74381,0.91104,0.62436,0.88827,8.653e-05,8.653e-05,8.653e-05
47,1935.08,1.0108,0.85448,0.90544,0.99632,0.99845,0.995,0.74624,0.91263,0.61642,0.88792,8.3164e-05,8.3164e-05,8.3164e-05
48,1977.01,1.01334,0.85871,0.90169,0.99609,0.99914,0.995,0.74194,0.92001,0.61579,0.89189,7.9798e-05,7.9798e-05,7.9798e-05
49,2017.95,1.00681,0.84951,0.90077,0.99573,0.99831,0.995,0.74859,0.89938,0.61176,0.88687,7.6432e-05,7.6432e-05,7.6432e-05
50,2058.2,1.00001,0.83811,0.90302,0.99639,0.99876,0.995,0.75088,0.8959,0.6053,0.88743,7.3066e-05,7.3066e-05,7.3066e-05
51,2099.13,1.00177,0.84082,0.8996,0.99657,0.99929,0.995,0.74793,0.8995,0.60037,0.88828,6.97e-05,6.97e-05,6.97e-05
52,2140.66,1.00244,0.83754,0.90392,0.99626,0.99816,0.995,0.75058,0.8966,0.59794,0.88666,6.6334e-05,6.6334e-05,6.6334e-05
53,2179.88,0.99234,0.83225,0.90021,0.99707,0.99945,0.995,0.75162,0.89385,0.5981,0.89026,6.2968e-05,6.2968e-05,6.2968e-05
54,2222.23,0.99117,0.82261,0.90174,0.99587,0.99968,0.995,0.74929,0.89952,0.5867,0.88902,5.9602e-05,5.9602e-05,5.9602e-05
55,2262.79,0.99761,0.83162,0.8965,0.9969,0.99907,0.995,0.74893,0.89564,0.58899,0.88998,5.6236e-05,5.6236e-05,5.6236e-05
56,2303.49,0.98782,0.80877,0.89735,0.99705,0.9992,0.995,0.75141,0.89162,0.58953,0.88894,5.287e-05,5.287e-05,5.287e-05
57,2344.41,0.99147,0.8153,0.89918,0.99681,0.99896,0.995,0.75283,0.89196,0.58557,0.88941,4.9504e-05,4.9504e-05,4.9504e-05
58,2385.22,0.97955,0.80252,0.89687,0.99704,0.9994,0.995,0.75119,0.88836,0.57991,0.88805,4.6138e-05,4.6138e-05,4.6138e-05
59,2425.53,0.98112,0.79908,0.89703,0.99719,0.99939,0.995,0.75004,0.88854,0.57453,0.88871,4.2772e-05,4.2772e-05,4.2772e-05
60,2466.53,0.97905,0.79426,0.8977,0.99716,0.99949,0.995,0.75405,0.88341,0.56998,0.88613,3.9406e-05,3.9406e-05,3.9406e-05
61,2509.77,0.95335,0.71456,0.88822,0.99493,0.99743,0.995,0.7503,0.88739,0.56323,0.8849,3.604e-05,3.604e-05,3.604e-05
62,2548.99,0.94857,0.69676,0.88807,0.99685,0.99983,0.995,0.74944,0.89485,0.55144,0.88699,3.2674e-05,3.2674e-05,3.2674e-05
63,2588.63,0.94962,0.69188,0.89038,0.99665,0.99977,0.995,0.74387,0.91114,0.54809,0.88993,2.9308e-05,2.9308e-05,2.9308e-05
64,2626.63,0.93567,0.66873,0.88666,0.99715,0.99939,0.995,0.75254,0.87956,0.53865,0.88512,2.5942e-05,2.5942e-05,2.5942e-05
65,2665.61,0.93557,0.67613,0.8888,0.99685,0.99966,0.995,0.75529,0.87601,0.53556,0.88557,2.2576e-05,2.2576e-05,2.2576e-05
66,2703.98,0.93525,0.67276,0.88727,0.99715,0.99953,0.995,0.75692,0.87304,0.53292,0.88499,1.921e-05,1.921e-05,1.921e-05
67,2743.44,0.92393,0.66156,0.88054,0.99716,0.99896,0.995,0.75676,0.87293,0.53271,0.88457,1.5844e-05,1.5844e-05,1.5844e-05
68,2780.14,0.92596,0.65648,0.88468,0.99711,0.99949,0.995,0.75683,0.8721,0.53,0.88481,1.2478e-05,1.2478e-05,1.2478e-05
69,2818.48,0.93319,0.66974,0.89049,0.99714,0.99934,0.995,0.75774,0.86672,0.52787,0.88443,9.112e-06,9.112e-06,9.112e-06
70,2858.21,0.92105,0.65668,0.88452,0.9975,0.99939,0.995,0.75771,0.86844,0.52729,0.88447,5.746e-06,5.746e-06,5.746e-06
